"","address","5","6","7","8","9","10","11","12"
"32","0xb52937c750792574d4ca6d8bc7f5951bd6800541",0,0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0
"33","0xb646f3709b06dd294345389d8f79a9893d64a106",0,0,0,0,0,0,0,0
"34","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",0,0,0,0,0,0,0,0
"35","0xd23a9b7eaf27b521880337b19edcf13cb6b26dff",8.51666666666667,8.51666666666667,8.51666666666667,0,0,0,0,0
"36","0xd3cd1bce062483536b97c47221c165a9fe3b4716",0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0,0
"37","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",34.0666666666667,93.6833333333334,122.966666666667,109.816666666667,79.4833333333333,75.3,54.3833333333333,25.1
"38","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",0,0,0,4.18333333333333,4.18333333333333,12.55,8.36666666666667,8.36666666666667
"39","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",59.6166666666667,93.6833333333334,102.05,50.8,41.8333333333333,50.2,41.8333333333333,16.7333333333333
"40","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",0,8.51666666666667,8.51666666666667,8.51666666666667,4.18333333333333,8.36666666666666,8.36666666666666,4.18333333333333
"41","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",0,0,16.7333333333333,25.1,50.2,41.8333333333333,33.4666666666667,8.36666666666667
"42","0xede25f41e2c28708be61b583cc9cb6771e113fbe",25.55,59.6166666666667,88.9,105.183333333333,92.0333333333333,87.85,46.0166666666667,25.1
"43","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",0,8.51666666666667,8.51666666666667,12.7,16.7333333333333,41.8333333333333,37.65,25.1
"44","0xfec33dff5871971eaa32ca34fc3229f8f12c8b13",0,0,0,0,0,0,0,0
"45","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",8.51666666666667,25.55,25.55,17.0333333333333,8.36666666666667,8.36666666666667,8.36666666666667,0
"46","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",0,0,0,0,0,0,0,0
"47","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",0,0,0,0,0,0,0,0
"48","0x7130f38655c04edb772a663b026caa5eaab42598",0,0,0,0,0,0,0,0
"49","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",0,0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0
"50","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",0,0,0,0,0,0,0,0
"51","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",0,0,0,0,0,0,0,0
"52","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",0,8.51666666666667,8.51666666666667,8.51666666666667,0,0,0,0
"53","0xd8e3b302b03d739bb94291aca58f006a072425a7",0,0,0,0,0,0,0,0
"54","0xda13157f47929bced94ce06ef8cbef70328981fc",0,8.51666666666667,12.7,12.7,4.18333333333333,0,0,0
"55","0xfad4a2d4c72733e82124139e41161152771a4d9d",0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0,0
"56","0xfe5563cd4a9528a472584ef49ed66faf4d484856",0,0,0,0,12.55,12.55,12.55,0
"57","0x00347a5a6129c110cd302ff018fd81804e010705",0,0,0,0,0,0,0,0
"58","0x0d413542e648034f704394646f5ffb12022fc8d5",8.51666666666667,8.51666666666667,8.51666666666667,0,0,0,0,0
"59","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",0,0,0,0,0,0,0,0
